,City,Date,lat,lon,AQI,CO,NO,NO2,O3,SO2,PM25,PM10,NH3,Population,Year,Month,Day,Hour,Minute
135,Kim,1631048400,37.2469,-103.3533,3,240.33,0.06,0.47,153.07,1.18,23.58,32.76,1.54,70,2021,9,7,21,0
136,Kiowa,1631048400,39.3436,-104.4578,3,233.65,0.07,0.38,121.59,0.66,21.06,24.31,1.76,761,2021,9,7,21,0
137,Kit Carson,1631048400,38.7628,-102.7953,2,226.97,0.07,0.35,103.0,0.65,12.64,14.63,1.47,231,2021,9,7,21,0
138,Kremmling,1631048400,40.0567,-106.3783,4,223.64,0.07,0.47,145.91,3.19,27.86,29.95,0.79,"1,524",2021,9,7,21,0
139,La Jara,1631048400,37.2736,-105.9597,3,186.92,0.07,0.38,123.02,0.41,9.43,10.29,0.69,817,2021,9,7,21,0
140,La Junta,1631048400,37.9792,-103.5472,3,243.66,0.07,0.45,125.89,0.6,19.52,24.83,2.03,"6,881",2021,9,7,21,0
141,La Veta,1631048400,37.5086,-105.0086,3,201.94,0.06,0.38,148.77,1.18,15.08,16.9,0.86,811,2021,9,7,21,0
142,Lafayette,1631048400,39.9947,-105.0997,4,260.35,0.21,1.56,151.63,2.0,26.5,29.98,1.98,"30,687",2021,9,7,21,0
143,Lake City,1631048400,38.03,-107.3106,2,186.92,0.04,0.24,117.3,0.23,16.26,18.8,0.91,394,2021,9,7,21,0
144,Lakeside,1631048400,39.7803,-105.0578,4,273.71,0.38,2.83,168.8,2.83,28.99,33.32,1.96,8,2021,9,7,21,0
145,Lakewood,1631048400,39.6978,-105.1172,4,273.71,0.38,2.83,168.8,2.83,28.99,33.32,1.96,"157,935",2021,9,7,21,0
146,Lamar,1631048400,38.0739,-102.6153,2,233.65,0.07,0.4,108.72,0.62,15.29,16.97,1.65,"7,655",2021,9,7,21,0
147,Larkspur,1631048400,39.2319,-104.8922,4,260.35,0.18,1.39,165.94,2.09,29.32,34.62,1.62,212,2021,9,7,21,0
148,Las Animas,1631048400,38.0694,-103.2236,2,236.99,0.07,0.41,115.87,0.72,17.47,20.67,1.85,"2,165",2021,9,7,21,0
149,LaSalle,1631048400,40.3483,-104.7061,2,233.65,0.12,0.66,108.72,0.25,17.44,20.98,1.77,"2,342",2021,9,7,21,0
150,Leadville,1631048400,39.2472,-106.2933,2,183.58,0.04,0.23,114.44,0.27,15.51,16.97,0.63,"2,868",2021,9,7,21,0
151,Limon,1631048400,39.2653,-103.6856,2,223.64,0.06,0.3,98.71,0.13,14.12,16.95,1.46,"1,952",2021,9,7,21,0
152,Littleton,1631048400,39.5914,-105.0189,4,273.71,0.32,2.53,175.95,3.67,31.08,36.45,1.87,"48,065",2021,9,7,21,0
153,Lochbuie,1631048400,40.0117,-104.7272,2,233.65,0.22,1.14,114.44,0.25,18.08,21.18,1.82,"7,304",2021,9,7,21,0
154,Log Lane Village,1631048400,40.2697,-103.8289,2,233.65,0.08,0.41,104.43,0.17,14.35,18.59,1.6,849,2021,9,7,21,0
155,Lone Tree,1631048400,39.5308,-104.8708,4,267.03,0.52,3.64,163.08,3.43,26.88,30.84,1.88,"13,082",2021,9,7,21,0
156,Longmont,1631048400,40.1686,-105.1006,4,260.35,0.12,0.92,148.77,1.21,27.06,30.66,1.92,"97,261",2021,9,7,21,0
157,Louisville,1631048400,39.9711,-105.1442,4,260.35,0.21,1.56,151.63,2.0,26.5,29.98,1.98,"20,816",2021,9,7,21,0
158,Loveland,1631048400,40.4167,-105.0622,3,253.68,0.11,0.8,131.61,1.07,24.4,27.89,1.87,"78,877",2021,9,7,21,0
159,Lyons,1631048400,40.2231,-105.2692,4,247.0,0.06,0.4,137.33,1.97,28.05,33.15,1.69,"2,189",2021,9,7,21,0
160,Manassa,1631048400,37.1739,-105.9372,2,181.91,0.06,0.33,117.3,0.4,7.18,7.85,0.63,"1,001",2021,9,7,21,0
161,Mancos,1631048400,37.3467,-108.2939,3,190.26,0.06,0.39,133.04,0.11,11.53,12.35,0.83,"1,430",2021,9,7,21,0
162,Manitou Springs,1631048400,38.8575,-104.9128,4,247.0,0.1,0.74,164.51,2.0,32.09,39.84,1.25,"5,390",2021,9,7,21,0
163,Manzanola,1631048400,38.1089,-103.8667,3,243.66,0.07,0.43,130.18,0.56,20.24,26.78,2.01,417,2021,9,7,21,0
164,Marble,1631048400,39.0717,-107.1908,2,198.6,0.07,0.41,114.44,0.17,17.54,19.63,0.96,134,2021,9,7,21,0
165,Mead,1631048400,40.2317,-104.9911,3,240.33,0.18,1.08,123.02,0.41,20.62,23.61,1.85,"4,731",2021,9,7,21,0
166,Meeker,1631048400,40.05,-107.8947,4,223.64,0.06,0.39,150.2,0.47,25.12,28.65,1.38,"2,252",2021,9,7,21,0
167,Merino,1631048400,40.4836,-103.3536,2,236.99,0.09,0.48,104.43,0.18,12.2,16.0,1.47,281,2021,9,7,21,0
168,Milliken,1631048400,40.3114,-104.8561,3,240.33,0.18,1.08,123.02,0.41,20.62,23.61,1.85,"8,164",2021,9,7,21,0
169,Minturn,1631048400,39.5461,-106.3869,2,190.26,0.06,0.34,118.73,0.43,17.36,18.75,0.67,"1,145",2021,9,7,21,0
170,Moffat,1631048400,38.0028,-105.9064,3,195.27,0.06,0.35,135.9,0.48,16.27,18.65,0.78,119,2021,9,7,21,0
171,Monte Vista,1631048400,37.5789,-106.15,3,180.24,0.07,0.37,125.89,0.24,10.37,11.42,0.58,"4,138",2021,9,7,21,0
172,Montezuma,1631048400,39.5814,-105.8678,2,186.92,0.06,0.28,114.44,0.83,15.95,17.55,0.52,74,2021,9,7,21,0
173,Montrose,1631048400,38.4689,-107.8589,3,226.97,0.06,0.42,150.2,0.34,20.98,25.0,1.6,"19,782",2021,9,7,21,0
174,Monument,1631048400,39.0736,-104.8467,4,253.68,0.11,0.87,163.08,1.85,31.03,37.48,1.44,"8,097",2021,9,7,21,0
175,Morrison,1631048400,39.6369,-105.2006,4,253.68,0.13,1.0,160.22,2.3,29.49,35.11,1.69,424,2021,9,7,21,0
176,Mount Crested Butte,1631048400,38.9083,-106.9606,2,193.6,0.03,0.16,117.3,0.22,19.08,22.16,0.85,876,2021,9,7,21,0
177,Mountain View,1631048400,39.7747,-105.0567,4,273.71,0.38,2.83,168.8,2.83,28.99,33.32,1.96,537,2021,9,7,21,0
178,Mountain Village,1631048400,37.9325,-107.8578,3,198.6,0.04,0.25,133.04,0.25,17.61,20.55,1.0,"1,426",2021,9,7,21,0
179,Naturita,1631048400,38.2183,-108.5667,3,213.62,0.04,0.29,138.76,0.5,19.27,23.06,1.46,532,2021,9,7,21,0
180,Nederland,1631048400,39.9633,-105.5072,3,200.27,0.05,0.25,123.02,1.61,20.6,23.61,0.71,"1,533",2021,9,7,21,0
181,New Castle,1631048400,39.5775,-107.5267,4,270.37,0.06,0.51,174.52,0.57,37.8,40.71,1.38,"5,203",2021,9,7,21,0
182,Northglenn,1631048400,39.9108,-104.9783,3,247.0,0.26,1.69,137.33,0.74,22.1,24.68,1.93,"38,819",2021,9,7,21,0
183,Norwood,1631048400,38.1292,-108.2919,3,216.96,0.06,0.41,144.48,0.81,19.39,22.67,1.35,579,2021,9,7,21,0
184,Nucla,1631048400,38.2667,-108.5486,3,213.62,0.04,0.29,138.76,0.5,19.27,23.06,1.46,714,2021,9,7,21,0
185,Nunn,1631048400,40.7139,-104.7889,2,230.31,0.06,0.31,105.86,0.27,16.93,20.91,1.62,464,2021,9,7,21,0
186,Oak Creek,1631048400,40.2742,-106.9575,4,260.35,0.2,1.46,177.38,15.74,39.51,43.35,0.86,959,2021,9,7,21,0
187,Olathe,1631048400,38.6083,-107.9833,3,223.64,0.06,0.4,144.48,0.32,19.07,21.94,1.79,"1,837",2021,9,7,21,0
188,Olney Springs,1631048400,38.1664,-103.9444,3,243.66,0.07,0.43,130.18,0.56,20.24,26.78,2.01,340,2021,9,7,21,0
189,Ophir,1631048400,37.8569,-107.8311,3,198.6,0.04,0.25,133.04,0.25,17.61,20.55,1.0,184,2021,9,7,21,0
190,Orchard City,1631048400,38.8144,-107.9706,2,198.6,0.12,0.74,98.71,0.23,17.71,19.45,2.01,"3,212",2021,9,7,21,0
191,Ordway,1631048400,38.2208,-103.7567,2,236.99,0.06,0.33,114.44,0.41,17.48,22.01,1.96,"1,054",2021,9,7,21,0
192,Otis,1631048400,40.15,-102.9622,2,233.65,0.08,0.39,98.71,0.13,9.93,13.59,1.36,486,2021,9,7,21,0
193,Ouray,1631048400,38.0275,-107.6733,3,201.94,0.05,0.29,137.33,0.28,17.2,20.48,1.01,"1,034",2021,9,7,21,0
194,Ovid,1631048400,40.9608,-102.3883,2,240.33,0.09,0.5,101.57,0.25,6.14,7.49,1.49,300,2021,9,7,21,0
195,Pagosa Springs,1631048400,37.2675,-107.0306,3,175.24,0.04,0.24,120.16,0.15,10.06,10.75,0.49,"2,085",2021,9,7,21,0
196,Palisade,1631048400,39.1083,-108.3572,4,247.0,0.09,0.72,167.37,0.46,29.55,32.23,1.46,"2,736",2021,9,7,21,0
197,Palmer Lake,1631048400,39.1153,-104.9061,4,253.68,0.11,0.87,163.08,1.85,31.03,37.48,1.44,"2,993",2021,9,7,21,0
198,Paoli,1631048400,40.6128,-102.4717,2,236.99,0.09,0.47,101.57,0.23,7.17,9.1,1.43,34,2021,9,7,21,0
199,Paonia,1631048400,38.8697,-107.5919,2,196.93,0.07,0.49,98.71,0.15,18.1,20.02,1.96,"1,469",2021,9,7,21,0
200,Parachute,1631048400,39.4508,-108.0531,4,236.99,0.07,0.5,145.91,0.31,29.27,31.99,1.57,"1,116",2021,9,7,21,0
201,Parker,1631048400,39.5083,-104.7753,3,247.0,0.28,1.67,135.9,1.15,22.64,25.97,1.81,"57,706",2021,9,7,21,0
202,Peetz,1631048400,40.9619,-103.1139,2,236.99,0.09,0.44,100.14,0.18,8.56,11.7,1.46,235,2021,9,7,21,0
203,Pierce,1631048400,40.6411,-104.7703,2,230.31,0.06,0.31,105.86,0.27,16.93,20.91,1.62,"1,133",2021,9,7,21,0
204,Pitkin,1631048400,38.6086,-106.515,3,196.93,0.03,0.16,127.32,0.25,18.45,22.0,0.78,69,2021,9,7,21,0
205,Platteville,1631048400,40.2219,-104.8342,3,240.33,0.18,1.08,123.02,0.41,20.62,23.61,1.85,"2,760",2021,9,7,21,0
206,Poncha Springs,1631048400,38.5142,-106.0942,3,181.91,0.05,0.25,120.16,0.32,14.29,17.38,0.63,956,2021,9,7,21,0
207,Pritchett,1631048400,37.37,-102.8586,3,240.33,0.06,0.42,147.34,1.07,22.35,29.99,1.5,131,2021,9,7,21,0
208,Pueblo,1631048400,38.27,-104.6114,4,270.37,0.15,1.24,180.24,1.31,33.67,44.25,1.58,"112,361",2021,9,7,21,0
209,Ramah,1631048400,39.1222,-104.1672,2,230.31,0.07,0.36,113.01,0.45,18.35,21.27,1.84,130,2021,9,7,21,0
210,Rangely,1631048400,40.0861,-108.7794,3,223.64,0.06,0.41,157.36,0.33,22.73,25.39,1.39,"2,263",2021,9,7,21,0
211,Raymer,1631048400,40.6081,-103.8436,2,230.31,0.06,0.3,101.57,0.17,13.4,17.68,1.49,112,2021,9,7,21,0
212,Red Cliff,1631048400,39.5092,-106.37,2,190.26,0.06,0.34,118.73,0.43,17.36,18.75,0.67,282,2021,9,7,21,0
213,Rico,1631048400,37.6892,-108.0317,3,193.6,0.04,0.21,124.45,0.31,16.72,18.96,0.95,231,2021,9,7,21,0
214,Ridgway,1631048400,38.1572,-107.7547,3,201.94,0.05,0.29,137.33,0.28,17.2,20.48,1.01,"1,039",2021,9,7,21,0
215,Rifle,1631048400,39.5361,-107.7728,4,257.02,0.07,0.51,167.37,0.44,34.1,37.01,1.36,"9,706",2021,9,7,21,0
216,Rockvale,1631048400,38.3644,-105.1647,4,260.35,0.09,0.83,191.69,1.71,31.31,38.81,1.25,519,2021,9,7,21,0
217,Rocky Ford,1631048400,38.05,-103.7225,3,243.66,0.07,0.42,121.59,0.49,18.76,23.83,2.09,"3,815",2021,9,7,21,0
218,Romeo,1631048400,37.1719,-105.9853,2,181.91,0.06,0.33,117.3,0.4,7.18,7.85,0.63,411,2021,9,7,21,0
219,Rye,1631048400,37.9214,-104.9319,4,240.33,0.26,1.82,165.94,1.82,29.21,35.4,1.2,165,2021,9,7,21,0
220,Saguache,1631048400,38.0864,-106.1411,3,183.58,0.05,0.27,127.32,0.34,13.93,16.08,0.6,505,2021,9,7,21,0
221,Salida,1631048400,38.53,-105.9978,3,188.59,0.06,0.35,127.32,0.36,13.74,16.45,0.63,"6,082",2021,9,7,21,0
222,San Luis,1631048400,37.2025,-105.4225,3,190.26,0.06,0.36,124.45,0.75,7.69,8.37,0.62,658,2021,9,7,21,0
223,Sanford,1631048400,37.2575,-105.9008,3,186.92,0.07,0.38,123.02,0.41,9.43,10.29,0.69,887,2021,9,7,21,0
224,Sawpit,1631048400,37.9947,-108.0022,3,205.28,0.04,0.25,135.9,0.33,17.36,20.34,1.01,39,2021,9,7,21,0
225,Sedgwick,1631048400,40.9356,-102.5256,2,236.99,0.08,0.43,100.14,0.24,6.5,8.25,1.44,137,2021,9,7,21,0
226,Seibert,1631048400,39.2981,-102.8694,2,226.97,0.07,0.34,98.71,0.15,11.96,14.36,1.52,213,2021,9,7,21,0
227,Severance,1631048400,40.5267,-104.865,2,240.33,0.13,0.75,115.87,0.45,19.42,22.73,1.82,"6,494",2021,9,7,21,0
228,Sheridan,1631048400,39.6467,-105.0183,4,273.71,0.38,2.83,168.8,2.83,28.99,33.32,1.96,"6,183",2021,9,7,21,0
229,Sheridan Lake,1631048400,38.4667,-102.2944,2,226.97,0.07,0.32,100.14,0.34,11.92,13.5,1.46,83,2021,9,7,21,0
230,Silt,1631048400,39.5483,-107.6533,4,257.02,0.07,0.51,167.37,0.44,34.1,37.01,1.36,"3,190",2021,9,7,21,0
231,Silver Cliff,1631048400,38.1203,-105.4103,3,200.27,0.07,0.45,133.04,1.03,17.11,19.09,0.97,667,2021,9,7,21,0
232,Silver Plume,1631048400,39.6956,-105.7264,2,185.25,0.07,0.37,110.15,0.93,18.6,20.35,0.68,177,2021,9,7,21,0
233,Silverthorne,1631048400,39.6561,-106.0869,3,201.94,0.05,0.27,128.75,1.28,21.31,23.28,0.78,"4,898",2021,9,7,21,0
234,Silverton,1631048400,37.8108,-107.6647,2,190.26,0.06,0.33,118.73,0.21,16.38,18.63,0.92,663,2021,9,7,21,0
235,Simla,1631048400,39.1408,-104.0825,2,230.31,0.07,0.36,113.01,0.45,18.35,21.27,1.84,640,2021,9,7,21,0
236,Snowmass Village,1631048400,39.2211,-106.9392,3,216.96,0.06,0.38,143.05,0.24,22.45,24.53,0.93,"2,732",2021,9,7,21,0
237,South Fork,1631048400,37.6692,-106.6417,3,178.58,0.03,0.19,120.16,0.23,13.1,14.71,0.51,425,2021,9,7,21,0
238,Springfield,1631048400,37.405,-102.6189,3,236.99,0.06,0.41,133.04,0.97,19.61,24.44,1.82,"1,375",2021,9,7,21,0
239,Starkville,1631048400,37.1169,-104.5233,3,216.96,0.07,0.53,157.36,1.21,17.23,20.38,1.0,54,2021,9,7,21,0
240,Steamboat Springs,1631048400,40.4778,-106.8242,4,257.02,0.06,0.42,161.65,1.4,36.76,40.42,1.3,"13,214",2021,9,7,21,0
241,Sterling,1631048400,40.6206,-103.1925,2,236.99,0.08,0.42,103.0,0.18,10.06,13.53,1.44,"14,495",2021,9,7,21,0
242,Stratton,1631048400,39.3028,-102.6033,2,230.31,0.07,0.36,100.14,0.25,11.91,14.18,1.5,639,2021,9,7,21,0
243,Sugar City,1631048400,38.2328,-103.6633,2,236.99,0.06,0.33,114.44,0.41,17.48,22.01,1.96,253,2021,9,7,21,0
244,Superior,1631048400,39.9339,-105.1589,4,260.35,0.21,1.56,151.63,2.0,26.5,29.98,1.98,"13,087",2021,9,7,21,0
245,Swink,1631048400,38.0142,-103.6281,3,243.66,0.07,0.42,121.59,0.49,18.76,23.83,2.09,592,2021,9,7,21,0
246,Telluride,1631048400,37.9364,-107.8269,3,198.6,0.04,0.25,133.04,0.25,17.61,20.55,1.0,"2,479",2021,9,7,21,0
247,Thornton,1631048400,39.9197,-104.9439,3,247.0,0.26,1.69,137.33,0.74,22.1,24.68,1.93,"141,464",2021,9,7,21,0
248,Timnath,1631048400,40.5339,-104.9622,2,240.33,0.13,0.75,115.87,0.45,19.42,22.73,1.82,"4,998",2021,9,7,21,0
249,Trinidad,1631048400,37.175,-104.4908,3,216.96,0.07,0.53,157.36,1.21,17.23,20.38,1.0,"8,200",2021,9,7,21,0
250,Two Buttes,1631048400,37.5606,-102.3967,3,236.99,0.07,0.41,124.45,0.88,17.18,20.09,1.87,40,2021,9,7,21,0
251,Vail,1631048400,39.6386,-106.3611,3,201.94,0.06,0.37,120.16,1.0,22.83,24.76,0.78,"5,434",2021,9,7,21,0
252,Victor,1631048400,38.7086,-105.1419,4,223.64,0.05,0.36,153.07,1.06,25.49,30.44,0.97,426,2021,9,7,21,0
253,Vilas,1631048400,37.3736,-102.4475,3,240.33,0.07,0.46,134.47,1.0,20.11,25.17,1.73,107,2021,9,7,21,0
254,Vona,1631048400,39.3022,-102.7433,2,230.31,0.07,0.36,100.14,0.25,11.91,14.18,1.5,104,2021,9,7,21,0
255,Walden,1631048400,40.7317,-106.2814,4,253.68,0.05,0.33,148.77,0.42,34.7,37.44,1.3,599,2021,9,7,21,0
256,Walsenburg,1631048400,37.6306,-104.7817,4,247.0,0.08,0.65,180.24,1.12,27.89,33.82,1.38,"3,029",2021,9,7,21,0
257,Walsh,1631048400,37.3861,-102.28,3,240.33,0.07,0.46,130.18,0.94,18.55,22.62,1.88,516,2021,9,7,21,0
258,Ward,1631048400,40.0722,-105.5139,3,211.95,0.04,0.23,128.75,2.86,24.12,28.28,0.84,161,2021,9,7,21,0
259,Wellington,1631048400,40.7,-105.0053,3,250.34,0.09,0.59,133.04,1.71,24.67,28.29,1.85,"10,437",2021,9,7,21,0
260,Westcliffe,1631048400,38.1339,-105.4653,3,200.27,0.07,0.45,133.04,1.03,17.11,19.09,0.97,628,2021,9,7,21,0
261,Westminster,1631048400,39.8836,-105.0625,4,260.35,0.21,1.56,151.63,2.0,26.5,29.98,1.98,"113,166",2021,9,7,21,0
262,Wheat Ridge,1631048400,39.7728,-105.1028,4,273.71,0.38,2.83,168.8,2.83,28.99,33.32,1.96,"31,324",2021,9,7,21,0
263,Wiggins,1631048400,40.2286,-104.0725,2,233.65,0.07,0.38,105.86,0.18,15.02,19.26,1.62,"1,163",2021,9,7,21,0
264,Wiley,1631048400,38.1553,-102.7192,2,233.65,0.07,0.4,108.72,0.62,15.29,16.97,1.65,393,2021,9,7,21,0
265,Williamsburg,1631048400,38.3839,-105.1711,4,260.35,0.09,0.83,191.69,1.71,31.31,38.81,1.25,713,2021,9,7,21,0
266,Windsor,1631048400,40.4689,-104.92,2,240.33,0.13,0.75,115.87,0.45,19.42,22.73,1.82,"30,477",2021,9,7,21,0
267,Winter Park,1631048400,39.8786,-105.7828,2,185.25,0.05,0.25,114.44,1.16,16.33,17.79,0.57,"1,090",2021,9,7,21,0
268,Woodland Park,1631048400,38.9986,-105.0594,4,240.33,0.07,0.5,164.51,1.83,29.44,36.45,1.06,"7,885",2021,9,7,21,0
269,Wray,1631048400,40.08,-102.2283,2,233.65,0.07,0.38,100.14,0.15,8.82,11.87,1.44,"2,349",2021,9,7,21,0
270,Yampa,1631048400,40.1531,-106.9086,4,250.34,0.16,1.14,171.66,15.97,39.76,43.24,0.53,464,2021,9,7,21,0
271,Yuma,1631048400,40.1236,-102.7161,2,233.65,0.08,0.41,98.71,0.14,9.41,13.04,1.41,"3,479",2021,9,7,21,0
